Session,Cluster,Note 1 midi,Note 1 name,Note 1 encoding,Note 2 midi,Note 2 encoding,Note 2 encoding
2,31,89,High F (front),1100100000000_0000000000,90,High F# (side),1000000000111_0010000100
2,24,61,Low C#,0010110100000_1100101000,67,F# Without octave key (Chromatic),0010110000000_1001000000
3,91,69,A Without octave key,0010100000000_0000000000,85,C# With octave key,1000000000000_0000000000
3,105,82,Bb With octave key (Bis key),1011100000000_0000000000,85,C# With octave key,1000000000000_0000000000
3,86,68,G# Without octave key (default),0010111000000_0000000000,74,D With octave key,1010110000000_1100100000
3,26,75,Eb With octave key,1010110000000_1100110000,88,High E,1000000000011_0000000100
3,104,67,F# Without octave key (Chromatic),0010110000000_1001000000,79,G With octave key,1010110000000_0000000000
3,85,59,Low B,0010110010000_1100101000,77,F With octave key,1010110000000_1000000000
3,91,68,G Without octave key,0010110000000_0000000000,84,C With octave key,1000100000000_0000000000
3,-1,58,Low Bb,0010110001000_1100101000,66,F# Without octave key (main),0010110000000_0100000000
3,91,68,G# Without octave key (default),0010111000000_0000000000,85,C# With octave key,1000000000000_0000000000
3,26,76,E With octave key,1010110000000_1100000000,89,High F (side),1000000000111_0000000100
3,26,74,D With octave key,1010110000000_1100100000,89,High F (side),1000000000111_0000000100
3,6,83,B With octave key,1010000000000_0000000000,89,High F (side),1000000000111_0000000100
3,102,62,D Without octave key,0010110000000_1100100000,91,High F# (front),1100100000000_0010000000
3,26,76,E With octave key,1010110000000_1100000000,90,High F# (side),1000000000111_0010000100
3,-1,58,Low Bb,0010110001000_1100101000,62,D Without octave key,0010110000000_1100100000
3,26,77,F With octave key,1010110000000_1000000000,90,High F# (side),1000000000111_0010000100
3,86,68,G Without octave key,0010110000000_0000000000,75,Eb With octave key,1010110000000_1100110000
3,91,68,G Without octave key,0010110000000_0000000000,85,C# With octave key,1000000000000_0000000000
3,36,63,Eb Without octave key,0010110000000_1100110000,82,Bb With octave key (side key),1010100000000_0000000001
3,63,74,D With octave key,1010110000000_1100100000,79,G With octave key,1010110000000_0000000000
3,-1,58,Low Bb,0010110001000_1100101000,61,Low C#,0010110100000_1100101000
3,104,66,F# Without octave key (main),0010110000000_0100000000,77,F With octave key,1010110000000_1000000000
3,-1,58,Low Bb,0010110001000_1100101000,63,Eb Without octave key,0010110000000_1100110000
3,-1,58,Low Bb,0010110001000_1100101000,59,Low B,0010110010000_1100101000
3,105,79,G With octave key,1010110000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000
3,-1,58,Low Bb,0010110001000_1100101000,64,E Without octave key,0010110000000_1100000000
3,85,59,Low B,0010110010000_1100101000,78,F# With octave key (main),1010110000000_0100000000
3,85,58,Low Bb,0010110001000_1100101000,77,F With octave key,1010110000000_1000000000
3,65,74,D With octave key,1010110000000_1100100000,77,F With octave key,1010110000000_1000000000
3,-1,58,Low Bb,0010110001000_1100101000,60,Low C,0010110000000_1100101000
3,86,68,G# Without octave key (default),0010111000000_0000000000,75,Eb With octave key,1010110000000_1100110000
3,85,58,Low Bb,0010110001000_1100101000,78,F# With octave key (main),1010110000000_0100000000
3,6,83,B With octave key,1010000000000_0000000000,90,High F# (side),1000000000111_0010000100
3,102,63,Eb Without octave key,0010110000000_1100110000,91,High F# (front),1100100000000_0010000000
3,63,75,Eb With octave key,1010110000000_1100110000,80,G# With octave key (default),1010111000000_0000000000
3,105,80,G# With octave key (default),1010111000000_0000000000,83,B With octave key,1010000000000_0000000000
3,85,62,D Without octave key,0010110000000_1100100000,81,A With octave key,1010100000000_0000000000
3,91,68,G# Without octave key (default),0010111000000_0000000000,84,C With octave key,1000100000000_0000000000
3,85,58,Low Bb,0010110001000_1100101000,76,E With octave key,1010110000000_1100000000
3,104,65,F Without octave key,0010110000000_1000000000,75,Eb With octave key,1010110000000_1100110000
3,104,64,E Without octave key,0010110000000_1100000000,75,Eb With octave key,1010110000000_1100110000
3,52,77,F With octave key,1010110000000_1000000000,81,A With octave key,1010100000000_0000000000
3,105,80,G# With octave key (default),1010111000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000
3,63,75,Eb With octave key,1010110000000_1100110000,81,A With octave key,1010100000000_0000000000
3,91,72,C Without octave key,0000100000000_0000000000,89,High F (front),1100100000000_0000000000
3,52,76,E With octave key,1010110000000_1100000000,81,A With octave key,1010100000000_0000000000
3,104,66,F# Without octave key (main),0010110000000_0100000000,78,F# With octave key (Chromatic),1010110000000_1001000000
3,-1,58,Low Bb,0010110001000_1100101000,65,F Without octave key,0010110000000_1000000000
3,6,82,Bb With octave key (Bis key),1011100000000_0000000000,88,High E,1000000000011_0000000100
3,98,60,Low C,0010110000000_1100101000,89,High F (front),1100100000000_0000000000
3,63,74,D With octave key,1010110000000_1100100000,80,G# With octave key (default),1010111000000_0000000000
3,65,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000
3,65,75,Eb With octave key,1010110000000_1100110000,78,F# With octave key (main),1010110000000_0100000000
3,65,74,D With octave key,1010110000000_1100100000,78,F# With octave key (main),1010110000000_0100000000
3,36,62,D Without octave key,0010110000000_1100100000,82,Bb With octave key (side key),1010100000000_0000000001
3,52,78,F# With octave key (Chromatic),1010110000000_1001000000,82,Bb With octave key (Bis key),1011100000000_0000000000
3,26,75,Eb With octave key,1010110000000_1100110000,89,High F (side),1000000000111_0000000100
3,65,76,E With octave key,1010110000000_1100000000,79,G With octave key,1010110000000_0000000000
3,6,84,C With octave key,1000100000000_0000000000,90,High F# (side),1000000000111_0010000100
3,91,73,C# Without octave key,0000000000000_0000000000,89,High F (front),1100100000000_0000000000
3,104,67,F# Without octave key (Chromatic),0010110000000_1001000000,78,F# With octave key (main),1010110000000_0100000000
3,85,60,Low C,0010110000000_1100101000,79,G With octave key,1010110000000_0000000000
3,86,69,A Without octave key,0010100000000_0000000000,75,Eb With octave key,1010110000000_1100110000
3,86,68,G Without octave key,0010110000000_0000000000,74,D With octave key,1010110000000_1100100000
3,52,78,F# With octave key (main),1010110000000_0100000000,82,Bb With octave key (Bis key),1011100000000_0000000000
3,98,61,Low C#,0010110100000_1100101000,89,High F (front),1100100000000_0000000000
3,36,61,Low C#,0010110100000_1100101000,82,Bb With octave key (side key),1010100000000_0000000001
3,52,78,F# With octave key (Chromatic),1010110000000_1001000000,83,B With octave key,1010000000000_0000000000
3,52,77,F With octave key,1010110000000_1000000000,82,Bb With octave key (Bis key),1011100000000_0000000000
3,52,78,F# With octave key (main),1010110000000_0100000000,83,B With octave key,1010000000000_0000000000
3,6,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100
3,63,74,D With octave key,1010110000000_1100100000,81,A With octave key,1010100000000_0000000000
3,6,82,Bb With octave key (Bis key),1011100000000_0000000000,89,High F (side),1000000000111_0000000100
3,52,76,E With octave key,1010110000000_1100000000,80,G# With octave key (default),1010111000000_0000000000
3,65,75,Eb With octave key,1010110000000_1100110000,79,G With octave key,1010110000000_0000000000
3,26,74,D With octave key,1010110000000_1100100000,88,High E,1000000000011_0000000100
4,74,70,Bb Without octave key (Bis key),0011100000000_0000000000,83,B With octave key,1010000000000_0000000000
4,76,68,G Without octave key,0010110000000_0000000000,90,High F# (side),1000000000111_0010000100
4,84,65,F Without octave key,0010110000000_1000000000,68,G# Without octave key (default),0010111000000_0000000000
4,60,71,B Without octave key,0010000000000_0000000000,85,C# With octave key,1000000000000_0000000000
4,-1,58,Low Bb,0010110001000_1100101000,59,Low B,0010110010000_1100101000
4,84,66,F# Without octave key (main),0010110000000_0100000000,70,Bb Without octave key (side key),0010100000000_0000000000
4,71,69,A Without octave key,0010100000000_0000000000,87,High Eb,1000000000011_0000000000
4,78,83,B With octave key,1010000000000_0000000000,89,High F (front),1100100000000_0000000000
4,100,68,G Without octave key,0010110000000_0000000000,91,High F# (front),1100100000000_0010000000
4,71,70,Bb Without octave key (side key),0010100000000_0000000000,86,High D,1000000000001_0000000000
4,84,66,F# Without octave key (main),0010110000000_0100000000,69,A Without octave key,0010100000000_0000000000
4,100,66,F# Without octave key (main),0010110000000_0100000000,89,High F (front),1100100000000_0000000000
4,76,67,F# Without octave key (Chromatic),0010110000000_1001000000,89,High F (side),1000000000111_0000000100
4,16,70,Bb Without octave key (side key),0010100000000_0000000000,76,E With octave key,1010110000000_1100000000
4,16,71,B Without octave key,0010000000000_0000000000,77,F With octave key,1010110000000_1000000000
4,60,69,A Without octave key,0010100000000_0000000000,83,B With octave key,1010000000000_0000000000
4,40,64,E Without octave key,0010110000000_1100000000,86,High D,1000000000001_0000000000
4,16,70,Bb Without octave key (Bis key),0011100000000_0000000000,76,E With octave key,1010110000000_1100000000
4,100,65,F Without octave key,0010110000000_1000000000,89,High F (front),1100100000000_0000000000
4,-1,58,Low Bb,0010110001000_1100101000,66,F# Without octave key (main),0010110000000_0100000000
4,84,64,E Without octave key,0010110000000_1100000000,68,G# Without octave key (default),0010111000000_0000000000
4,16,72,C Without octave key,0000100000000_0000000000,78,F# With octave key (Chromatic),1010110000000_1001000000
4,62,58,Low Bb,0010110001000_1100101000,72,C Without octave key,0000100000000_0000000000
4,84,67,F# Without octave key (Chromatic),0010110000000_1001000000,70,Bb Without octave key (Bis key),0011100000000_0000000000
4,71,70,Bb Without octave key (Bis key),0011100000000_0000000000,87,High Eb,1000000000011_0000000000
4,-1,58,Low Bb,0010110001000_1100101000,62,D Without octave key,0010110000000_1100100000
4,62,58,Low Bb,0010110001000_1100101000,73,C# Without octave key,0000000000000_0000000000
4,76,66,F# Without octave key (main),0010110000000_0100000000,88,High E,1000000000011_0000000100
4,60,68,G Without octave key,0010110000000_0000000000,83,B With octave key,1010000000000_0000000000
4,62,59,Low B,0010110010000_1100101000,73,C# Without octave key,0000000000000_0000000000
4,100,69,A Without octave key,0010100000000_0000000000,91,High F# (front),1100100000000_0010000000
4,33,67,F# Without octave key (Chromatic),0010110000000_1001000000,75,Eb With octave key,1010110000000_1100110000
4,76,67,F# Without octave key (Chromatic),0010110000000_1001000000,88,High E,1000000000011_0000000100
4,74,69,A Without octave key,0010100000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000
4,84,59,Low B,0010110010000_1100101000,62,D Without octave key,0010110000000_1100100000
4,-1,58,Low Bb,0010110001000_1100101000,63,Eb Without octave key,0010110000000_1100110000
4,84,66,F# Without octave key (main),0010110000000_0100000000,70,Bb Without octave key (Bis key),0011100000000_0000000000
4,133,68,G# Without octave key (default),0010111000000_0000000000,72,C Without octave key,0000100000000_0000000000
4,95,73,C# Without octave key,0000000000000_0000000000,88,High E,1000000000011_0000000100
4,133,68,G# Without octave key (default),0010111000000_0000000000,73,C# Without octave key,0000000000000_0000000000
4,133,80,G# With octave key (default),1010111000000_0000000000,85,C# With octave key,1000000000000_0000000000
4,74,68,G Without octave key,0010110000000_0000000000,81,A With octave key,1010100000000_0000000000
4,-1,58,Low Bb,0010110001000_1100101000,64,E Without octave key,0010110000000_1100000000
4,133,68,G Without octave key,0010110000000_0000000000,73,C# Without octave key,0000000000000_0000000000
4,84,67,F# Without octave key (Chromatic),0010110000000_1001000000,70,Bb Without octave key (side key),0010100000000_0000000000
4,71,70,Bb Without octave key (side key),0010100000000_0000000000,87,High Eb,1000000000011_0000000000
4,74,72,C Without octave key,0000100000000_0000000000,85,C# With octave key,1000000000000_0000000000
4,40,65,F Without octave key,0010110000000_1000000000,86,High D,1000000000001_0000000000
4,78,82,Bb With octave key (Bis key),1011100000000_0000000000,89,High F (front),1100100000000_0000000000
4,74,68,G# Without octave key (default),0010111000000_0000000000,81,A With octave key,1010100000000_0000000000
4,16,72,C Without octave key,0000100000000_0000000000,77,F With octave key,1010110000000_1000000000
4,-1,58,Low Bb,0010110001000_1100101000,65,F Without octave key,0010110000000_1000000000
4,16,72,C Without octave key,0000100000000_0000000000,78,F# With octave key (main),1010110000000_0100000000
4,95,73,C# Without octave key,0000000000000_0000000000,89,High F (side),1000000000111_0000000100
4,40,66,F# Without octave key (main),0010110000000_0100000000,87,High Eb,1000000000011_0000000000
4,84,58,Low Bb,0010110001000_1100101000,62,D Without octave key,0010110000000_1100100000
4,84,67,F# Without octave key (Chromatic),0010110000000_1001000000,71,B Without octave key,0010000000000_0000000000
4,33,67,F# Without octave key (Chromatic),0010110000000_1001000000,74,D With octave key,1010110000000_1100100000
4,40,65,F Without octave key,0010110000000_1000000000,87,High Eb,1000000000011_0000000000
4,60,70,Bb Without octave key (side key),0010100000000_0000000000,84,C With octave key,1000100000000_0000000000
4,71,70,Bb Without octave key (Bis key),0011100000000_0000000000,86,High D,1000000000001_0000000000
4,71,69,A Without octave key,0010100000000_0000000000,86,High D,1000000000001_0000000000
4,74,71,B Without octave key,0010000000000_0000000000,84,C With octave key,1000100000000_0000000000
4,74,70,Bb Without octave key (side key),0010100000000_0000000000,83,B With octave key,1010000000000_0000000000
4,60,69,A Without octave key,0010100000000_0000000000,84,C With octave key,1000100000000_0000000000
4,60,70,Bb Without octave key (side key),0010100000000_0000000000,85,C# With octave key,1000000000000_0000000000
4,-1,58,Low Bb,0010110001000_1100101000,60,Low C,0010110000000_1100101000
4,84,65,F Without octave key,0010110000000_1000000000,69,A Without octave key,0010100000000_0000000000
4,100,67,F# Without octave key (Chromatic),0010110000000_1001000000,89,High F (front),1100100000000_0000000000
4,16,71,B Without octave key,0010000000000_0000000000,76,E With octave key,1010110000000_1100000000
4,76,68,G# Without octave key (default),0010111000000_0000000000,90,High F# (side),1000000000111_0010000100
4,60,70,Bb Without octave key (Bis key),0011100000000_0000000000,84,C With octave key,1000100000000_0000000000
4,-1,58,Low Bb,0010110001000_1100101000,61,Low C#,0010110100000_1100101000
4,100,68,G# Without octave key (default),0010111000000_0000000000,91,High F# (front),1100100000000_0010000000
4,60,70,Bb Without octave key (Bis key),0011100000000_0000000000,85,C# With octave key,1000000000000_0000000000
5,110,62,D Without octave key,0010110000000_1100100000,68,G Without octave key,0010110000000_0000000000
5,56,70,Bb Without octave key (side key),0010100000000_0000000000,90,High F# (side),1000000000111_0010000100
5,117,73,C# Without octave key,0000000000000_0000000000,76,E With octave key,1010110000000_1100000000
5,117,73,C# Without octave key,0000000000000_0000000000,77,F With octave key,1010110000000_1000000000
5,124,76,E With octave key,1010110000000_1100000000,82,Bb With octave key (Bis key),1011100000000_0000000000
5,75,60,Low C,0010110000000_1100101000,90,High F# (side),1000000000111_0010000100
5,59,61,Low C#,0010110100000_1100101000,74,D With octave key,1010110000000_1100100000
5,147,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000
5,-1,58,Low Bb,0010110001000_1100101000,62,D Without octave key,0010110000000_1100100000
5,110,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000
5,59,65,F Without octave key,0010110000000_1000000000,78,F# With octave key (Chromatic),1010110000000_1001000000
5,89,59,Low B,0010110010000_1100101000,75,Eb With octave key,1010110000000_1100110000
5,147,69,A Without octave key,0010100000000_0000000000,81,A With octave key,1010100000000_0000000000
5,89,62,D Without octave key,0010110000000_1100100000,78,F# With octave key (Chromatic),1010110000000_1001000000
5,89,63,Eb Without octave key,0010110000000_1100110000,78,F# With octave key (Chromatic),1010110000000_1001000000
5,59,65,F Without octave key,0010110000000_1000000000,78,F# With octave key (main),1010110000000_0100000000
5,147,64,E Without octave key,0010110000000_1100000000,76,E With octave key,1010110000000_1100000000
5,56,69,A Without octave key,0010100000000_0000000000,89,High F (side),1000000000111_0000000100
5,80,82,Bb With octave key (side key),1010100000000_0000000001,88,High E,1000000000011_0000000100
5,121,86,High D,1000000000001_0000000000,87,High Eb,1000000000011_0000000000
5,93,78,F# With octave key (main),1010110000000_0100000000,82,Bb With octave key (side key),1010100000000_0000000001
5,89,58,Low Bb,0010110001000_1100101000,75,Eb With octave key,1010110000000_1100110000
5,89,61,Low C#,0010110100000_1100101000,78,F# With octave key (Chromatic),1010110000000_1001000000
5,147,70,Bb Without octave key (Bis key),0011100000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000
5,110,63,Eb Without octave key,0010110000000_1100110000,68,G Without octave key,0010110000000_0000000000
5,-1,58,Low Bb,0010110001000_1100101000,66,F# Without octave key (main),0010110000000_0100000000
5,124,85,C# With octave key,1000000000000_0000000000,91,High F# (front),1100100000000_0010000000
5,59,66,F# Without octave key (main),0010110000000_0100000000,79,G With octave key,1010110000000_0000000000
5,147,72,C Without octave key,0000100000000_0000000000,84,C With octave key,1000100000000_0000000000
5,121,88,High E,1000000000011_0000000100,89,High F (side),1000000000111_0000000100
5,56,69,A Without octave key,0010100000000_0000000000,90,High F# (side),1000000000111_0010000100
5,56,70,Bb Without octave key (Bis key),0011100000000_0000000000,89,High F (side),1000000000111_0000000100
5,56,70,Bb Without octave key (side key),0010100000000_0000000000,89,High F (side),1000000000111_0000000100
5,56,69,A Without octave key,0010100000000_0000000000,88,High E,1000000000011_0000000100
5,80,82,Bb With octave key (Bis key),1011100000000_0000000000,87,High Eb,1000000000011_0000000000
5,121,88,High E,1000000000011_0000000100,90,High F# (side),1000000000111_0010000100
5,59,62,D Without octave key,0010110000000_1100100000,75,Eb With octave key,1010110000000_1100110000
5,93,78,F# With octave key (Chromatic),1010110000000_1001000000,82,Bb With octave key (side key),1010100000000_0000000001
5,124,77,F With octave key,1010110000000_1000000000,83,B With octave key,1010000000000_0000000000
5,147,63,Eb Without octave key,0010110000000_1100110000,75,Eb With octave key,1010110000000_1100110000
5,-1,58,Low Bb,0010110001000_1100101000,65,F Without octave key,0010110000000_1000000000
5,147,66,F# Without octave key (main),0010110000000_0100000000,78,F# With octave key (main),1010110000000_0100000000
5,124,84,C With octave key,1000100000000_0000000000,91,High F# (front),1100100000000_0010000000
5,55,60,Low C,0010110000000_1100101000,83,B With octave key,1010000000000_0000000000
5,55,60,Low C,0010110000000_1100101000,84,C With octave key,1000100000000_0000000000
5,-1,58,Low Bb,0010110001000_1100101000,60,Low C,0010110000000_1100101000
5,124,78,F# With octave key (main),1010110000000_0100000000,84,C With octave key,1000100000000_0000000000
5,147,70,Bb Without octave key (side key),0010100000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000
5,-1,58,Low Bb,0010110001000_1100101000,59,Low B,0010110010000_1100101000
5,56,70,Bb Without octave key (Bis key),0011100000000_0000000000,90,High F# (side),1000000000111_0010000100
5,121,89,High F (front),1100100000000_0000000000,91,High F# (front),1100100000000_0010000000
5,59,64,E Without octave key,0010110000000_1100000000,77,F With octave key,1010110000000_1000000000
5,93,77,F With octave key,1010110000000_1000000000,82,Bb With octave key (side key),1010100000000_0000000001
5,121,89,High F (side),1000000000111_0000000100,90,High F# (side),1000000000111_0010000100
5,147,73,C# Without octave key,0000000000000_0000000000,85,C# With octave key,1000000000000_0000000000
5,93,76,E With octave key,1010110000000_1100000000,82,Bb With octave key (side key),1010100000000_0000000001
5,110,61,Low C#,0010110100000_1100101000,66,F# Without octave key (main),0010110000000_0100000000
5,80,81,A With octave key,1010100000000_0000000000,87,High Eb,1000000000011_0000000000
5,147,71,B Without octave key,0010000000000_0000000000,83,B With octave key,1010000000000_0000000000
5,117,73,C# Without octave key,0000000000000_0000000000,78,F# With octave key (main),1010110000000_0100000000
5,124,78,F# With octave key (Chromatic),1010110000000_1001000000,84,C With octave key,1000100000000_0000000000
5,-1,58,Low Bb,0010110001000_1100101000,63,Eb Without octave key,0010110000000_1100110000
5,75,58,Low Bb,0010110001000_1100101000,90,High F# (side),1000000000111_0010000100
5,80,81,A With octave key,1010100000000_0000000000,86,High D,1000000000001_0000000000
5,55,58,Low Bb,0010110001000_1100101000,81,A With octave key,1010100000000_0000000000
5,117,73,C# Without octave key,0000000000000_0000000000,78,F# With octave key (Chromatic),1010110000000_1001000000
5,124,76,E With octave key,1010110000000_1100000000,83,B With octave key,1010000000000_0000000000
